t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
22.73999999999998,8.608897598298707e-07,4.0537311469012523e-07,0.00019915459500552402,8.41507230564531e-07,0.00019897319659550576,-5.4291501909045516e-11
22.75999999999999,8.848508769352833e-07,4.060851181085615e-07,0.00019941960596625563,8.426305049269445e-07,0.00019914971107240145,-5.4383204189898676e-11
22.799999999999983,8.863751612580328e-07,4.0675423445087814e-07,0.00019977296358764107,8.441282544069395e-07,0.00019950274832009627,-5.456683552817637e-11
22.839999999999975,8.647178263020886e-07,4.070459999933767e-07,0.00020003798906209624,8.452516055967862e-07,0.0001998557966280825,-5.4750769207167e-11
22.859999999999985,8.886617415470756e-07,4.077576380172969e-07,0.0002003030207564649,8.463749892051453e-07,0.0002000323249303102,-5.484284941384703e-11
22.899999999999977,8.901862299559234e-07,4.0842639212064735e-07,0.0002006564060286209,8.478728856786688e-07,0.00020038538983260597,-5.5027236540844854e-11
22.939999999999998,8.539373093279343e-07,4.0834094031595084e-07,0.00020083310281382438,8.48621855009668e-07,0.00020073846580034746,-5.521192592475837e-11
22.95999999999998,8.693119753965467e-07,4.090522676182619e-07,0.0002010981531777034,8.497453372058317e-07,0.0002009150079344634,-5.5304383952644346e-11
23.0,8.939978028418369e-07,4.1009764506463235e-07,0.00020153991761695522,8.516178802153718e-07,0.00020126810050425205,-5.548952665873512e-11
23.039999999999992,8.723750255758766e-07,4.103890562696202e-07,0.0002018049845817771,8.527414498971098e-07,0.00020162120414466726,-5.56749715376462e-11
23.059999999999974,8.962849884936088e-07,4.110999623460924e-07,0.00020207005777272968,8.538650524414493e-07,0.00020179776011694704,-5.576780728133866e-11
23.099999999999994,8.978098795864552e-07,4.117679934520839e-07,0.00020242349838284213,8.553632402374944e-07,0.0002021508803670816,-5.595370535659499e-11
23.139999999999986,8.76204157484691e-07,4.1205922809732303e-07,0.0002026885861070582,8.564869187210888e-07,0.00020250401169303494,-5.613990552063407e-11
23.159999999999997,8.769700272050941e-07,4.123931543688854e-07,0.000202865314718359,8.572360568059878e-07,0.00020268058151005176,-5.623311887558738e-11
