t,err_pos_m,err_yaw_rad,gt_x,gt_y,est_x,est_y
83.0,0.6687044927277599,5.14666526454377e-05,-0.7864856577125523,-2.535535690388999,-0.44389476353163315,-3.1098153938598854
83.02999999999997,0.6687149711733184,0.00010988265606726166,-0.7785472342547566,-2.548250339708598,-0.43595630456236023,-3.122542223304241
83.06000000000006,0.6687117946262698,2.0496567917582805e-05,-0.7706087065741447,-2.5609779844551057,-0.4280190562723583,-3.1352669324406874
83.10000000000002,0.6687148057322563,2.1600493867346415e-05,-0.7600167379921619,-2.577938742387294,-0.4174347256205631,-3.152235752831328
83.13,0.6687149185924685,0.00010988045680804248,-0.752082908791794,-2.590667804389016,-0.4094965320402446,-3.1649623427683893
83.15999999999997,0.6687141932257405,4.11964060906822e-05,-0.7441454057216608,-2.6033944391121757,-0.40155893904241075,-3.177688079221293
83.20000000000005,0.668712860288199,4.586495704250737e-05,-0.733558832835751,-2.6203612886950527,-0.39097562374415873,-3.194655319974615
83.23000000000002,0.66799682146692,0.00010989684369677732,-0.7256562622816785,-2.6330152711977646,-0.3834601384844452,-3.2067064480063823
83.25999999999999,0.6649262372135586,0.0004348627718984144,-0.7179664168586624,-2.645200105220756,-0.3774691173880446,-3.216329241220836
83.30000000000007,0.6596677206253075,0.000902814775753269,-0.7084683300225274,-2.6595639460072826,-0.3711933553338052,-3.226491713084986
83.33000000000004,0.6552793074695336,0.00011055766770073917,-0.7017771490174769,-2.6679537321721427,-0.3679665127831697,-3.23183441984871
83.36000000000001,0.6489709053629407,0.00023930689241091763,-0.6951851456697105,-2.6749692909164584,-0.3664170224961755,-3.2345001275935323
83.39999999999998,0.6389179653827125,0.0006707597360011697,-0.6881584756802477,-2.684665337331896,-0.3655101129342416,-3.236130839884963
83.43000000000006,0.6306013517621495,0.00010848936446117285,-0.6825724378552538,-2.6916230266416186,-0.36527351665412805,-3.236581244717878
83.46000000000004,0.6194032447902956,0.0012935007650372032,-0.6761870753718568,-2.6992038577065993,-0.3659458660142207,-3.2353109101439443
83.5,0.6072828688086088,3.873739859905356e-05,-0.6685286285329117,-2.7094788244808417,-0.3656636039560506,-3.2358487130919507
83.52999999999997,0.5987318088682416,0.00011031898020141817,-0.6652419653459649,-2.7171310480660607,-0.3657852211809868,-3.235595547646068
83.56000000000006,0.5913967090687055,0.00016428220351949463,-0.662770589595683,-2.724249103625404,-0.36575364528011284,-3.235650122676732
83.60000000000002,0.581934108203482,0.00036032184668099987,-0.6596842370853593,-2.733129208179974,-0.3658558690223655,-3.2354360829209234
